epoch: 0 , global_step: 704 
net1: 0.4765
epoch: 5 , global_step: 4224
net1: 0.7623
epoch: 10 , global_step: 7744
net1: 0.7965
epoch: 15 , global_step: 11264
net1: 0.8074
epoch: 20 , global_step: 14784
net1: 0.8167epoch: 25 , global_step: 18304 
net1: 0.8202epoch: 30 , global_step: 21824 
net1: 0.8204epoch: 35 , global_step: 25344 
net1: 0.8224epoch: 40 , global_step: 28864 
net1: 0.8238epoch: 45 , global_step: 32384 
net1: 0.8196epoch: 50 , global_step: 35904 
net1: 0.8216epoch: 55 , global_step: 39424 
net1: 0.8230epoch: 60 , global_step: 42944 
net1: 0.8194epoch: 65 , global_step: 46464 
net1: 0.8258epoch: 70 , global_step: 49984 
net1: 0.8265epoch: 75 , global_step: 53504 
net1: 0.8327epoch: 80 , global_step: 57024 
net1: 0.8356epoch: 85 , global_step: 60544 
net1: 0.8343epoch: 90 , global_step: 64064 
net1: 0.8267epoch: 95 , global_step: 67584 
net1: 0.8309epoch: 100 , global_step: 71104 
net1: 0.8317epoch: 105 , global_step: 74624 
net1: 0.8354epoch: 110 , global_step: 78144 
net1: 0.8366epoch: 115 , global_step: 81664 
net1: 0.8337epoch: 120 , global_step: 85184 
net1: 0.8335epoch: 125 , global_step: 88704 
net1: 0.8289epoch: 130 , global_step: 92224 
net1: 0.8350epoch: 135 , global_step: 95744 
net1: 0.8271epoch: 140 , global_step: 99264 
net1: 0.8382epoch: 145 , global_step: 102784 
net1: 0.8360epoch: 150 , global_step: 106304 
net1: 0.8406epoch: 155 , global_step: 109824 
net1: 0.8299epoch: 160 , global_step: 113344 
net1: 0.8305epoch: 165 , global_step: 116864 
net1: 0.8289epoch: 170 , global_step: 120384 
net1: 0.8384epoch: 175 , global_step: 123904 
net1: 0.8382epoch: 180 , global_step: 127424 
net1: 0.8350epoch: 185 , global_step: 130944 
net1: 0.8368epoch: 190 , global_step: 134464 
net1: 0.8384epoch: 195 , global_step: 137984 
net1: 0.8374epoch: 200 , global_step: 141504 
net1: 0.8392The code run 0h 3555m 15s
