Wall time,Step,Value
1541827834.9379284,25,0.03125
1541827851.8140354,30,0.0
1541827918.3868644,50,0.0
1541827935.2194698,55,0.0
1541827968.4669263,65,0.0
1541827984.972614,70,0.03125
1541828001.6403272,75,0.0
1541828034.73143,85,0.0
1541828051.1697652,90,0.03125
1541828068.0507624,95,0.03125
1541828084.5847394,100,0.0625
1541828151.0412025,120,0.03125
1541828300.9334342,165,0.0
1541828317.3542714,170,0.0
1541828350.6941001,180,0.0
1541828399.8946385,195,0.0
1541828416.489611,200,0.0625
1541828449.6890714,210,0.03125
1541828483.1999495,220,0.03125
1541828499.543458,225,0.0
1541828532.2488797,235,0.0
1541828565.7944887,245,0.03125
1541828582.2696154,250,0.03125
1541828631.428753,265,0.0625
1541828648.1026344,270,0.03125
1541828664.7967627,275,0.03125
1541828681.4288926,280,0.0625
1541828698.2238424,285,0.0625
1541828747.253981,300,0.0625
1541828763.822546,305,0.0625
1541828796.301666,315,0.0
1541828828.67547,325,0.09375
1541828845.106309,330,0.0625
1541828861.5844328,335,0.125
1541828880.2082002,340,0.125
1541828929.8245308,355,0.0
1541828946.125732,360,0.0625
1541828962.5715106,365,0.09375
1541828979.0343325,370,0.09375
1541829013.1698365,380,0.03125
1541829066.560104,395,0.03125
1541829150.4133875,420,0.03125
1541829166.9534044,425,0.125
1541829183.5383284,430,0.03125
1541829200.3667057,435,0.0
1541829216.6171978,440,0.09375
1541829232.7915652,445,0.09375
1541829315.5564883,470,0.1875
1541829448.1117606,510,0.25
1541829498.1584518,525,0.09375
1541829514.3565671,530,0.21875
1541829630.4637015,565,0.1875
1541829679.964381,580,0.25
1541829713.1472652,590,0.25
1541829729.4020107,595,0.28125
1541829745.8784919,600,0.3125
1541829812.5811563,620,0.3125
1541829829.5490465,625,0.40625
1541829846.3350754,630,0.34375
1541829896.1590624,645,0.375
1541829912.5159838,650,0.40625
1541829962.7882092,665,0.34375
1541830031.464755,685,0.46875
1541830065.1298344,695,0.46875
1541830097.7909243,705,0.375
