x_axis,Step,Value
10,64,0.0125
20,178,0.021875
30,271,0.04375
40,347,0.06875
50,449,0.09375
60,598,0.29375
70,703,0.40625
80,797,0.378125
90,896,0.53125
100,1023,0.534375
110,1135,0.53125
120,1250,0.63125
130,1367,0.65625
140,1492,0.709375
150,1589,0.6625
160,1692,0.78125
170,1801,0.734375
180,1891,0.740625
190,1979,0.71875
200,2126,0.728125
210,2254,0.790625
220,2346,0.7875
230,2491,0.7875
240,2624,0.7875
250,2706,0.7875
260,2799,0.85
270,2892,0.871875
280,2976,0.815625
290,3073,0.8125
300,3200,0.853125
310,3291,0.85625
320,3374,0.784375
330,3442,0.86875
340,3537,0.85625
350,3627,0.85625
360,3723,0.88125
370,3814,0.89375
380,3904,0.834375
390,3991,0.88125
400,4086,0.853125
410,4190,0.859375
420,4298,0.859375
430,4383,0.89375
440,4468,0.846875
450,4565,0.88125
460,4651,0.871875
470,4773,0.89375
480,4857,0.871875
490,4950,0.875
500,5059,0.90625
510,5163,0.88125
520,5260,0.896875
530,5381,0.928125
540,5479,0.9125
550,5615,0.90625
560,5700,0.91875
570,5812,0.915625
580,5947,0.909375
590,6018,0.93125
600,6104,0.9125
610,6210,0.915625
620,6293,0.90625
630,6379,0.903125
640,6479,0.921875
650,6570,0.94375
660,6659,0.903125
670,6743,0.909375
680,6845,0.928125
690,6927,0.909375
700,7069,0.91875
710,7160,0.909375
720,7283,0.91875
730,7428,0.93125
740,7525,0.921875
750,7601,0.909375
760,7737,0.9
770,7864,0.925
780,7973,0.93125
790,8058,0.9625
800,8138,0.934375
810,8212,0.940625
820,8288,0.946875
830,8379,0.925
840,8469,0.940625
850,8550,0.9375
860,8649,0.94375
870,8727,0.94375
880,8841,0.95
890,8946,0.909375
900,9046,0.928125
910,9165,0.946875
920,9245,0.94375
930,9346,0.9375
940,9446,0.95625
950,9540,0.953125
960,9615,0.934375
970,9700,0.95625
980,9795,0.9375
990,9916,0.9625
1000,10027,0.95
