Wall time,Step,Value
1542250493.1353598,25,0.0625
1542250692.9978187,90,0.0625
1542250784.5899312,120,0.03125
1542251030.5982935,200,0.0
1542251060.7644408,210,0.125
1542251107.0205946,225,0.03125
1542251229.1579223,265,0.0625
1542251275.5322943,280,0.0625
1542251507.5731838,355,0.0625
1542251554.157592,370,0.03125
1542251861.72874,470,0.0
1542251985.0042284,510,0.03125
1542252046.7349327,530,0.03125
1542252353.4932287,630,0.03125
1542252553.8392758,695,0.09375
1542252801.0170565,775,0.0
1542252847.5370622,790,0.0625
1542252987.0750492,835,0.03125
1542253157.2785,890,0.0625
1542253234.3649907,915,0.03125
1542253265.6655169,925,0.0625
1542253281.275289,930,0.125
1542253343.4048972,950,0.125
1542253607.6136358,1035,0.21875
1542253855.5870774,1115,0.0625
1542253948.5339818,1145,0.03125
1542254026.7255228,1170,0.1875
1542254256.0711768,1245,0.21875
1542254350.4604876,1275,0.15625
1542254427.8938928,1300,0.375
1542254535.02967,1335,0.1875
1542254596.5315537,1355,0.25
1542254627.326436,1365,0.1875
1542254919.4865932,1460,0.25
1542255164.6948626,1540,0.3125
1542255195.4570522,1550,0.4375
1542255319.6287215,1590,0.25
1542255505.4969003,1650,0.28125
1542255645.4269392,1695,0.25
1542255769.2649305,1735,0.5
1542256016.7053502,1815,0.3125
1542256078.3005884,1835,0.25
1542256921.2768898,2105,0.40625
1542256936.740726,2110,0.40625
1542257201.9730446,2195,0.3125
1542257233.2775598,2205,0.46875
1542257248.9906838,2210,0.53125
1542257295.0577445,2225,0.3125
1542257525.8882976,2300,0.5
1542257571.985414,2315,0.34375
1542257587.2562337,2320,0.28125
1542257741.1339476,2370,0.5625
1542258005.3359618,2455,0.375
1542258035.5836277,2465,0.4375
1542258364.3966558,2570,0.3125
1542258411.6698644,2585,0.4375
1542258535.8901865,2625,0.5
1542258630.4290273,2655,0.40625
1542258707.4252064,2680,0.53125
1542258800.5022385,2710,0.375
1542258877.1069992,2735,0.5625
1542259030.9258192,2785,0.5625
1542259124.0163827,2815,0.46875
1542259278.4704096,2865,0.46875
1542259373.369768,2895,0.5
1542259404.5921862,2905,0.46875
1542259484.2190216,2930,0.5
1542259500.066998,2935,0.40625
1542259735.9072158,3010,0.59375
1542260018.0815716,3100,0.3125
1542260048.8081777,3110,0.5
1542260237.5646262,3170,0.5625
1542260349.0255165,3205,0.5625
1542260365.0862865,3210,0.59375
1542260396.5800211,3220,0.5
1542260443.776932,3235,0.46875
1542260475.8224697,3245,0.53125
1542260664.615125,3305,0.34375
1542260822.9467187,3355,0.3125
1542260870.354921,3370,0.6875
1542261011.335979,3415,0.34375
1542261090.7567942,3440,0.625
1542261503.066778,3570,0.4375
1542261566.4129188,3590,0.5625
1542261629.1947098,3610,0.59375
1542261644.537193,3615,0.59375
1542261756.2083893,3650,0.4375
1542261898.4206042,3695,0.59375
1542261961.5688727,3715,0.4375
1542262024.5930426,3735,0.46875
1542262102.3768964,3760,0.40625
1542262165.0000098,3780,0.5
1542262307.876053,3825,0.46875
1542262370.1362917,3845,0.5625
1542262385.8950877,3850,0.53125
1542262401.7788084,3855,0.46875
1542262433.282378,3865,0.5625
1542262541.5273142,3900,0.4375
1542262619.5839207,3925,0.5
1542262649.9652598,3935,0.46875
1542262727.6009007,3960,0.3125
1542262759.0862472,3970,0.46875
1542262821.4893184,3990,0.59375
1542262884.4843993,4010,0.46875
