Wall time,Step,Value
1542440729.0511591,25,0.0625
1542440939.6441495,90,0.03125
1542441037.4877777,120,0.0625
1542441295.9879887,200,0.0
1542441327.6445327,210,0.0
1542441375.6972609,225,0.03125
1542441504.6691797,265,0.03125
1542441552.6720498,280,0.09375
1542441794.618602,355,0.03125
1542441842.6865323,370,0.03125
1542442163.707523,470,0.03125
1542442291.122361,510,0.0625
1542442354.9141188,530,0.09375
1542442679.086153,630,0.0
1542442889.6555715,695,0.03125
1542443147.2021263,775,0.03125
1542443195.9813054,790,0.125
1542443340.3932123,835,0.0
1542443519.481342,890,0.0625
1542443600.6896937,915,0.03125
1542443632.837942,925,0.0625
1542443649.1771784,930,0.03125
1542443714.1945474,950,0.0625
1542443988.3103735,1035,0.0625
1542444245.6714826,1115,0.15625
1542444343.1742775,1145,0.0625
1542444424.6774251,1170,0.0625
1542444665.5176923,1245,0.125
1542444764.179391,1275,0.09375
1542444843.9542058,1300,0.0625
1542444956.964661,1335,0.125
1542445021.8526688,1355,0.0625
1542445054.6876109,1365,0.09375
1542445362.1681979,1460,0.125
1542445621.607168,1540,0.09375
1542445654.321792,1550,0.09375
1542445783.6374886,1590,0.0625
1542445978.2141378,1650,0.3125
1542446123.8646483,1695,0.15625
1542446253.005215,1735,0.09375
1542446513.7260616,1815,0.21875
1542446577.7796886,1835,0.15625
1542447457.710881,2105,0.34375
1542447473.995452,2110,0.40625
1542447750.9329996,2195,0.3125
1542447783.386729,2205,0.4375
1542447799.8746092,2210,0.46875
1542447848.393862,2225,0.5
1542448092.0840633,2300,0.28125
1542448140.7703958,2315,0.34375
1542448157.19096,2320,0.59375
1542448318.288791,2370,0.53125
1542448593.3716776,2455,0.4375
1542448625.5914307,2465,0.28125
1542448968.4696412,2570,0.4375
1542449016.5808916,2585,0.59375
1542449147.0620315,2625,0.46875
1542449244.7302363,2655,0.3125
1542449277.3241484,2665,0.40625
1542449326.156104,2680,0.34375
1542449423.6682127,2710,0.34375
1542449505.4588168,2735,0.40625
1542449668.4051416,2785,0.5
1542449764.6563058,2815,0.375
1542449927.0753245,2865,0.4375
1542450023.8886821,2895,0.5
1542450056.39645,2905,0.4375
1542450137.415669,2930,0.5
1542450153.51391,2935,0.5
1542450396.2361734,3010,0.5
1542450687.1278846,3100,0.4375
1542450720.1039941,3110,0.5625
1542450915.4713469,3170,0.5625
1542451028.531853,3205,0.28125
1542451044.584318,3210,0.40625
1542451077.0107837,3220,0.53125
1542451126.4162765,3235,0.6875
1542451158.9790037,3245,0.4375
1542451352.2022703,3305,0.53125
1542451512.9765186,3355,0.53125
1542451561.6899154,3370,0.625
1542451707.434573,3415,0.40625
1542451789.0170548,3440,0.625
1542452210.5021155,3570,0.5
1542452275.344571,3590,0.5
1542452339.5365288,3610,0.46875
1542452355.6404457,3615,0.59375
1542452470.0067744,3650,0.5625
1542452615.288161,3695,0.53125
1542452679.6928701,3715,0.5625
1542452744.8686757,3735,0.46875
1542452826.1814349,3760,0.5625
1542452891.218334,3780,0.5625
1542453037.8809574,3825,0.5
1542453103.3578753,3845,0.53125
1542453119.5539672,3850,0.6875
1542453135.7100024,3855,0.40625
1542453167.3626769,3865,0.5
1542453281.201787,3900,0.59375
1542453363.0760005,3925,0.5625
1542453395.494289,3935,0.53125
1542453475.903864,3960,0.53125
1542453507.7366848,3970,0.5625
1542453572.3536901,3990,0.65625
1542453636.8260145,4010,0.625
1542453733.5630128,4040,0.5
1542453749.8003752,4045,0.5
1542454121.115723,4160,0.53125
1542454185.4736032,4180,0.53125
1542454718.6600952,4345,0.625
1542454800.2471054,4370,0.75
1542454832.3471987,4380,0.65625
1542454929.373595,4410,0.65625
1542455058.4948373,4450,0.46875
1542455156.2270598,4480,0.5
1542455221.6957922,4500,0.46875
1542455334.823953,4535,0.53125
1542455367.2461982,4545,0.4375
1542455464.6501303,4575,0.78125
1542455496.5749586,4585,0.59375
1542455723.5643265,4655,0.78125
1542455739.360874,4660,0.5625
1542455899.9054427,4710,0.78125
1542455948.4512498,4725,0.53125
1542456094.0339208,4770,0.5
1542456158.5695791,4790,0.59375
1542456223.3488343,4810,0.75
1542456369.8723452,4855,0.5625
1542456386.221107,4860,0.71875
1542456484.0881767,4890,0.59375
1542456500.1584322,4895,0.6875
1542456581.8653126,4920,0.59375
1542456775.9142148,4980,0.6875
1542456873.8721364,5010,0.625
1542456921.7102704,5025,0.6875
1542457070.6294942,5070,0.5625
1542457119.4553945,5085,0.71875
1542457249.699546,5125,0.5625
1542457444.3802845,5185,0.59375
1542457556.798358,5220,0.6875
1542457765.8999467,5285,0.625
1542457863.6133595,5315,0.6875
1542457911.906429,5330,0.5
1542457944.1362438,5340,0.8125
1542458008.6369448,5360,0.6875
1542458105.8486032,5390,0.6875
1542458186.7410607,5415,0.71875
1542458348.134762,5465,0.625
1542458444.6758907,5495,0.6875
1542458510.0578067,5515,0.59375
1542458526.2548935,5520,0.5
1542458688.1050012,5570,0.6875
1542458769.352209,5595,0.59375
1542459369.3727226,5780,0.6875
1542459434.0191653,5800,0.6875
1542459450.025591,5805,0.65625
1542459465.8543408,5810,0.6875
